,instance_folder,instance_id,noise_factor,sample,sample_durations,time_limit,obj_gap,obj_value,solve_time,solver_status
74,ubo50,8,2,4,"[0, 2, 5, 3, 1, 5, 6, 6, 3, 3, 7, 4, 2, 1, 2, 5, 3, 15, 7, 3, 10, 2, 4, 1, 9, 5, 2, 3, 12, 1, 5, 1, 2, 13, 5, 15, 2, 4, 4, 4, 3, 14, 4, 6, 4, 3, 1, 5, 1, 6, 4, 0]",60,,,60.0,Unknown
75,ubo50,8,2,5,"[0, 1, 4, 6, 7, 9, 6, 8, 3, 8, 3, 3, 12, 3, 1, 3, 2, 7, 1, 1, 6, 3, 2, 2, 7, 7, 2, 11, 9, 2, 8, 1, 1, 5, 7, 15, 2, 1, 1, 4, 2, 3, 5, 4, 11, 5, 2, 5, 4, 11, 1, 0]",60,,,60.0,Unknown
76,ubo50,8,2,6,"[0, 1, 7, 8, 8, 11, 6, 5, 11, 3, 8, 3, 7, 4, 1, 5, 5, 11, 4, 3, 9, 2, 4, 1, 3, 7, 2, 1, 8, 1, 3, 2, 3, 11, 6, 12, 1, 2, 4, 4, 2, 5, 1, 11, 5, 8, 1, 3, 5, 6, 7, 0]",60,0.0,197.0,5.294,Optimal
77,ubo50,8,2,7,"[0, 1, 8, 7, 4, 2, 6, 7, 6, 8, 9, 3, 12, 5, 2, 3, 2, 12, 2, 1, 8, 2, 5, 1, 3, 5, 1, 1, 6, 1, 6, 2, 2, 4, 3, 8, 2, 5, 1, 4, 1, 5, 4, 10, 10, 5, 1, 1, 3, 4, 7, 0]",60,0.0,171.0,14.333,Optimal
78,ubo50,8,2,8,"[0, 2, 4, 7, 9, 11, 8, 1, 7, 3, 5, 5, 12, 3, 1, 1, 3, 3, 5, 2, 11, 2, 1, 3, 7, 7, 1, 5, 10, 2, 5, 2, 1, 14, 2, 9, 1, 1, 2, 7, 1, 5, 4, 6, 5, 7, 1, 2, 3, 10, 6, 0]",60,,,60.0,Unknown
79,ubo50,8,2,9,"[0, 1, 8, 6, 11, 10, 7, 1, 10, 1, 10, 3, 2, 5, 2, 3, 2, 13, 5, 2, 7, 2, 6, 2, 7, 5, 2, 9, 10, 1, 7, 2, 3, 11, 1, 8, 2, 5, 2, 6, 1, 7, 1, 7, 3, 5, 2, 3, 5, 5, 5, 0]",60,,,60.0,Unknown
80,ubo50,9,2,0,"[0, 8, 4, 5, 1, 6, 1, 1, 3, 1, 5, 3, 2, 4, 6, 3, 6, 3, 6, 4, 1, 3, 1, 2, 3, 3, 6, 10, 2, 2, 10, 7, 1, 8, 6, 12, 10, 2, 7, 2, 2, 1, 3, 1, 1, 6, 13, 12, 11, 7, 10, 0]",60,0.0,179.0,5.137,Optimal
81,ubo50,9,2,1,"[0, 6, 7, 6, 2, 4, 5, 1, 3, 2, 5, 3, 1, 2, 5, 2, 3, 1, 6, 2, 2, 3, 3, 2, 1, 7, 11, 6, 7, 2, 7, 4, 6, 11, 4, 9, 9, 1, 3, 3, 8, 2, 9, 1, 3, 3, 11, 10, 10, 2, 4, 0]",60,0.0,184.0,13.941,Optimal
82,ubo50,9,2,2,"[0, 6, 1, 1, 2, 7, 5, 6, 8, 1, 5, 2, 2, 9, 10, 1, 5, 5, 9, 8, 2, 5, 2, 1, 1, 3, 2, 13, 5, 2, 10, 2, 9, 12, 5, 7, 1, 1, 2, 3, 5, 2, 10, 3, 4, 4, 5, 10, 5, 3, 9, 0]",60,0.0,188.0,21.918,Optimal
83,ubo50,9,2,3,"[0, 3, 2, 3, 3, 7, 3, 1, 8, 2, 2, 3, 1, 8, 2, 3, 6, 2, 4, 2, 2, 5, 3, 1, 2, 9, 11, 8, 1, 2, 6, 2, 2, 6, 5, 14, 7, 2, 1, 1, 4, 2, 4, 2, 5, 8, 11, 8, 11, 6, 14, 0]",60,0.0,177.0,4.8,Optimal
84,ubo50,9,2,4,"[0, 4, 2, 6, 1, 8, 1, 5, 12, 2, 4, 1, 1, 2, 5, 2, 2, 3, 6, 4, 1, 1, 2, 1, 3, 9, 5, 3, 1, 1, 5, 8, 1, 5, 1, 4, 11, 1, 5, 3, 4, 3, 5, 3, 4, 9, 10, 6, 8, 7, 15, 0]",60,0.0,172.0,3.442,Optimal
85,ubo50,9,2,5,"[0, 6, 3, 5, 1, 1, 4, 4, 10, 2, 2, 1, 1, 12, 4, 1, 3, 2, 6, 1, 1, 5, 3, 2, 2, 7, 8, 12, 3, 2, 9, 2, 7, 2, 1, 5, 10, 3, 1, 3, 8, 1, 5, 2, 1, 6, 13, 14, 7, 7, 8, 0]",60,0.0,179.0,11.26,Optimal
86,ubo50,9,2,6,"[0, 15, 4, 1, 1, 1, 7, 5, 11, 2, 5, 2, 1, 7, 4, 3, 6, 7, 8, 5, 1, 1, 3, 1, 2, 3, 8, 14, 1, 2, 8, 3, 2, 12, 1, 8, 10, 1, 2, 2, 3, 3, 2, 3, 5, 10, 3, 9, 5, 5, 6, 0]",60,0.0,182.0,2.54,Optimal
87,ubo50,9,2,7,"[0, 9, 5, 7, 1, 7, 5, 7, 4, 1, 5, 2, 1, 7, 11, 2, 9, 7, 6, 5, 1, 3, 2, 1, 1, 1, 5, 13, 5, 2, 6, 2, 2, 4, 6, 7, 1, 1, 5, 3, 4, 2, 11, 2, 5, 7, 11, 5, 4, 7, 6, 0]",60,0.0,184.0,10.511,Optimal
88,ubo50,9,2,8,"[0, 11, 2, 1, 2, 3, 3, 5, 12, 1, 3, 1, 2, 12, 2, 1, 6, 10, 10, 3, 2, 1, 3, 1, 1, 2, 8, 13, 1, 3, 4, 7, 5, 4, 4, 15, 6, 1, 7, 3, 7, 2, 4, 3, 1, 10, 14, 14, 13, 7, 11, 0]",60,0.0,197.0,6.944,Optimal
89,ubo50,9,2,9,"[0, 11, 1, 1, 3, 8, 3, 5, 2, 2, 5, 2, 1, 3, 12, 1, 6, 2, 7, 2, 1, 5, 2, 1, 3, 8, 12, 8, 2, 3, 11, 1, 6, 5, 5, 12, 1, 1, 1, 3, 4, 3, 6, 3, 5, 5, 3, 3, 7, 3, 13, 0]",60,0.0,178.0,13.582,Optimal
90,ubo50,10,2,0,"[0, 2, 14, 1, 1, 6, 3, 1, 3, 15, 9, 7, 12, 4, 5, 3, 8, 5, 1, 1, 3, 1, 2, 1, 5, 5, 2, 8, 2, 2, 10, 1, 1, 2, 2, 2, 9, 8, 6, 3, 2, 2, 3, 5, 4, 1, 1, 4, 13, 2, 9, 0]",60,0.282353,170.0,60.0,Feasible
91,ubo50,10,2,1,"[0, 3, 10, 3, 2, 2, 12, 1, 10, 4, 12, 5, 3, 5, 2, 3, 3, 7, 2, 3, 3, 2, 1, 1, 12, 4, 2, 8, 6, 5, 14, 2, 2, 3, 1, 1, 4, 3, 8, 2, 4, 5, 13, 7, 3, 1, 2, 2, 6, 1, 9, 0]",60,0.245399,163.0,60.0,Feasible
92,ubo50,10,2,2,"[0, 2, 9, 1, 2, 7, 5, 1, 7, 14, 9, 9, 14, 6, 5, 2, 7, 12, 1, 1, 3, 1, 2, 1, 10, 2, 2, 10, 1, 3, 15, 5, 1, 1, 2, 7, 11, 1, 3, 2, 3, 5, 15, 3, 13, 7, 1, 10, 5, 3, 7, 0]",60,,,0.004,Infeasible
93,ubo50,10,2,3,"[0, 3, 10, 1, 3, 6, 4, 3, 6, 9, 2, 7, 8, 3, 3, 2, 8, 7, 1, 1, 6, 1, 2, 2, 10, 1, 2, 4, 2, 2, 7, 5, 2, 3, 2, 1, 10, 4, 2, 3, 6, 5, 8, 1, 8, 1, 6, 2, 4, 2, 9, 0]",60,,,0.004,Infeasible
94,ubo50,10,2,4,"[0, 3, 10, 1, 1, 4, 7, 3, 2, 14, 5, 6, 4, 4, 5, 1, 9, 3, 2, 1, 3, 1, 3, 1, 11, 4, 1, 9, 5, 6, 5, 2, 1, 1, 2, 1, 3, 3, 5, 1, 7, 4, 6, 4, 14, 3, 4, 7, 10, 2, 4, 0]",60,0.339181,171.0,60.0,Feasible
95,ubo50,10,2,5,"[0, 3, 7, 1, 1, 4, 6, 1, 5, 8, 8, 8, 8, 3, 1, 3, 13, 5, 1, 3, 7, 2, 1, 1, 7, 2, 2, 4, 2, 5, 9, 2, 1, 2, 1, 2, 8, 1, 1, 3, 7, 5, 12, 7, 3, 7, 1, 4, 12, 1, 4, 0]",60,0.282209,163.0,60.0,Feasible
96,ubo50,10,2,6,"[0, 3, 14, 1, 3, 6, 6, 1, 10, 3, 8, 8, 12, 7, 5, 2, 13, 8, 1, 3, 6, 1, 2, 1, 14, 7, 1, 9, 4, 3, 15, 4, 1, 3, 1, 4, 2, 6, 6, 3, 2, 4, 13, 1, 8, 2, 5, 10, 14, 2, 3, 0]",60,0.322115,208.0,60.0,Feasible
97,ubo50,10,2,7,"[0, 3, 3, 3, 1, 8, 3, 3, 4, 7, 5, 7, 10, 8, 4, 1, 9, 7, 2, 3, 3, 3, 1, 2, 13, 6, 2, 10, 2, 1, 9, 5, 1, 3, 1, 4, 11, 5, 1, 1, 7, 4, 13, 5, 12, 4, 2, 2, 5, 2, 5, 0]",60,,,0.004,Infeasible
98,ubo50,10,2,8,"[0, 2, 3, 1, 1, 3, 6, 2, 11, 12, 6, 5, 11, 4, 2, 3, 6, 11, 2, 1, 6, 3, 3, 1, 14, 9, 2, 11, 8, 1, 15, 2, 2, 1, 1, 4, 8, 7, 1, 3, 5, 4, 6, 4, 3, 7, 4, 2, 9, 3, 1, 0]",60,0.308901,191.0,60.0,Feasible
99,ubo50,10,2,9,"[0, 3, 4, 3, 1, 3, 14, 1, 7, 7, 8, 3, 12, 4, 1, 2, 14, 14, 1, 3, 1, 3, 1, 1, 3, 8, 1, 1, 8, 5, 4, 3, 2, 3, 1, 2, 7, 2, 6, 2, 3, 5, 12, 1, 10, 3, 6, 2, 13, 1, 1, 0]",60,0.339394,165.0,60.0,Feasible
